x, y, yaw, vel, accel, jerk, curvature, time, wheels
1.829000,1.829000,0.000000,0.000000,1.000000,0.000000,0.000000,6.130498,0.000000,0.000000
1.879105,1.829003,0.000237,0.100000,1.000000,0.000000,-0.006232,6.230498,0.100143,0.099857
1.929787,1.829040,0.001428,0.200000,1.000000,0.000000,-0.024926,6.330498,0.201142,0.198858
1.981471,1.829178,0.004176,0.300000,1.000000,0.000000,-0.056084,6.430498,0.303853,0.296147
2.034434,1.829515,0.008923,0.398821,0.985930,0.000000,-0.089404,6.530498,0.406987,0.390656
2.088813,1.830183,0.015989,0.496891,0.975964,0.000000,-0.122122,6.630498,0.510787,0.482995
2.144620,1.831332,0.025617,0.594159,0.969579,0.000000,-0.145867,6.730498,0.614006,0.574312
2.201757,1.833139,0.038026,0.690903,0.966337,0.000000,-0.153942,6.830498,0.715259,0.666546
2.260027,1.835792,0.053449,0.787544,0.967985,0.000000,-0.136961,6.930498,0.812244,0.762843
2.319146,1.839494,0.072162,0.884634,0.979261,0.000000,-0.090267,7.030498,0.902920,0.866348
2.378761,1.844455,0.094517,0.983012,0.988456,0.000000,-0.000207,7.130498,0.983058,0.982965
2.438457,1.850890,0.120960,0.967709,-0.403783,0.000000,0.145837,7.230498,0.935391,1.000027
2.497775,1.859012,0.152055,0.923033,-0.626498,0.000000,0.361742,7.330498,0.846570,0.999496
2.556223,1.869030,0.188505,0.846414,-0.839473,0.000000,0.677361,7.430498,0.715122,0.977706
2.613288,1.881146,0.231166,0.765061,-0.762792,0.000000,1.129090,7.530498,0.567245,0.962876
2.668452,1.895547,0.281055,0.691639,-0.676717,0.000000,1.756531,7.630498,0.413430,0.969848
2.721205,1.912404,0.339334,0.626460,-0.596841,0.000000,2.544171,7.730498,0.261475,0.991445
2.771054,1.931866,0.407244,0.568732,-0.558007,0.000000,3.313457,7.830498,0.137189,1.000276
2.817541,1.954059,0.485962,0.540970,-0.136014,0.000000,3.705877,7.930498,0.081878,1.000062
2.860255,1.979077,0.576328,0.552930,0.321770,0.000000,3.534003,8.030498,0.105451,1.000408
2.898842,2.006983,0.678430,0.599953,0.591833,0.000000,2.905760,8.130498,0.200733,0.999172
